Cement Amount  (kg/m³),CaO_C,SiO2_C,Al2O3_C,Sp.Gr_C,Silica Fume (kg/m³),CaO_SF,SiO2_SF,Al2O3_SF,Sp.Gr_SF,Flayash Amount   (kg/m³),CaO_FA,SiO2_FA,Al2O3_FA,Sp.Gr_FA,Limestone Powder  (kg/m3),CaO_LP,SiO2_LP,Al2O3_LP,Sp.Gr_LP,Quartzpowder (kg/m3),CaO_QP,SiO2_QP,Al2O3_QP,Sp.Gr_QP,Glass powder (kg/m3),CaO_GP,SiO2_GP,Al2O3_GP,Rice husk ash (kg/m3),CaO_RH,SiO2_RH,Al2O3_RH,Sp.Gr_RH,Metakaolin (kg/m³),CaO_MK,SiO2_MK,Al2O3_MK,Sp.Gr_MK,GGBFS  (kg/m³),CaO_GGBFS,SiO2_GGBFS,Al2O3_GGBFS,Sp.Gr_GGBFS,Slag Amount   (kg/m³),CaO_S,SiO2_S,Al2O3_S,Sp.Gr_S,Filler (kg/m³),Type of Filler,Sand Amount  (kg/m³),Max Size (mm),d50 _(mm),Type of Fiber,Amount / Quantity of Fiber,Length (mm),Diameter (mm),Synergetic Type of Fiber,Amount / Quantity of Fiber .1,Length (mm).1,Diameter (mm).1,Water _Amount  _(kg/m³),Superplasticizer  Amount  (kg/m³),Curing,Temperature (o C),Specimen Size
634.0,62.49,21.18,4.73,3.11,264.0,1.85,93.9,0.6051049504950495,2.15,159.0,4.63,42.52,32.62,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1056.0,8.0,0.0,5,156.0,13.0,0.2,0,0.0,0,0.0,173.0,21.1,0,20.0,5
750.0,63.19232142857143,20.94610227272727,4.926579545454546,3.095097159940209,144.0,0.6184246823956443,94.77242156074014,0.6051049504950495,2.264394973070018,200.0,13.877939252336448,45.24462897196263,25.17382179176756,2.5021542857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,3,880.0,6.0,0.25,0,0.0,0.0,0.0,0,0.0,0,0.0,210.0,45.0,0,20.0,0
1200.0,64.35,22.0,5.64,3.095097159940209,180.0,0.41,86.75,0.41,2.264394973070018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,676.29,4.0,0.31,1,157.0,13.0,0.22,0,0.0,0,0.0,207.0,48.99,0,22.0,1
839.0,63.9,20.3,4.6,3.095097159940209,104.0,0.3,96.9,0.2,2.264394973070018,26.0,8.99,53.16,24.64,2.5021542857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,4,931.0,9.0,0.38,5,119.0,13.0,0.2,0,0.0,0,0.0,147.0,59.33,0,0.0,3
845.5,64.15,20.11,5.07,3.095097159940209,44.5,0.6184246823956443,95.25,0.6051049504950495,2.264394973070018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,890.0,4.0,0.37,0,0.0,0.0,0.0,0,0.0,0,0.0,178.0,30.2,0,21.0,1
788.5,61.33,21.01,6.4,3.15,197.1,0.38,96.0,0.25,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.6,5,867.4,3.0,0.25,7,79.0,30.0,0.3,2,2.0,2,0.03,160.3,52.6,2,90.0,1
1099.04,63.19232142857143,20.94610227272727,4.926579545454546,3.095097159940209,63.97,0.6184246823956443,95.25,0.6051049504950495,2.264394973070018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1640.0,8.0,0.5,0,0.0,0.0,0.0,0,0.0,0,0.0,232.6,39.41,2,90.0,6
850.0,63.19232142857143,20.94610227272727,4.926579545454546,3.095097159940209,200.0,0.6184246823956443,94.77242156074014,0.6051049504950495,2.264394973070018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1030.0,10.0,0.0,8,118.0,20.0,0.2,0,0.0,0,0.0,170.9,28.0,1,90.0,1
972.0,63.19232142857143,20.94610227272727,4.926579545454546,3.095097159940209,271.5,0.6184246823956443,94.77242156074014,0.6051049504950495,2.264394973070018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.48,0.4984183673469388,99.01520737327186,0.2273469387755102,2.694193548387096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1049.76,10.0,0.0,4,78.0,6.0,0.2,0,0.0,0,0.0,223.83,24.3,2,90.0,3
890.0,63.19232142857143,20.94610227272727,4.926579545454546,3.095097159940209,222.0,0.6184246823956443,94.77242156074014,0.6051049504950495,2.264394973070018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,799.0,4.0,0.42,1,119.0,10.0,0.12,0,0.0,0,0.0,222.0,29.7,1,160.0,2
